"Search query: (""1945""[Date - Publication] : ""2020""[Date - Publication])"
Year,Count
2021,180100
2020,1616096
2019,1397826
2018,1338344
2017,1297783
2016,1280938
2015,1254697
2014,1203230
2013,1148966
2012,1088625
2011,1019690
2010,941689
2009,877314
2008,836935
2007,786531
2006,749778
2005,700230
2004,639708
2003,594536
2002,565383
2001,547570
2000,532508
1999,493713
1998,474666
1997,456812
1996,458679
1995,449095
1994,438222
1993,427519
1992,417908
1991,413177
1990,410843
1989,402765
1988,387016
1987,367976
1986,349678
1985,335285
1984,318225
1983,309511
1982,295747
1981,283607
1980,280629
1979,282077
1978,272530
1977,262173
1976,254958
1975,249192
1974,235110
1973,231127
1972,227810
1971,223609
1970,219426
1969,215347
1968,208158
1967,192052
1966,180185
1965,176737
1964,162110
1963,141540
1962,125694
1961,120180
1960,112222
1959,110000
1958,109469
1957,111529
1956,107016
1955,108562
1954,105942
1953,108924
1952,108182
1951,103821
1950,85792
1949,62827
1948,70757
1947,65050
1946,53934
1945,20513
