"Search query: circadian rhythms AND (""1945""[Date - Publication] : ""2020""[Date - Publication])"
Year,Count
2021,239
2020,2759
2019,2933
2018,2837
2017,2815
2016,2710
2015,2878
2014,2919
2013,2782
2012,2614
2011,2393
2010,2478
2009,2434
2008,2411
2007,2468
2006,2180
2005,2189
2004,1920
2003,1831
2002,1833
2001,1882
2000,1756
1999,1774
1998,1741
1997,1673
1996,1600
1995,1539
1994,1501
1993,1521
1992,1628
1991,1620
1990,1591
1989,1356
1988,1287
1987,1322
1986,1206
1985,1130
1984,1146
1983,1046
1982,1033
1981,987
1980,987
1979,912
1978,920
1977,823
1976,939
1975,925
1974,1004
1973,874
1972,812
1971,636
1970,588
1969,451
1968,390
1967,341
1966,217
1965,101
1964,98
1963,30
1962,18
1961,14
1960,27
1959,13
1958,17
1957,14
1956,14
1955,10
1954,8
1953,12
1952,20
1951,16
1950,15
1949,3
1948,5
1947,5
1946,1
1945,1
